a0 a1 ai ao b0 b1 bi bo ri ro c => R(a0,ai,ao) R(b0,bi,bo) R(S(a0,b0)) R(a1,ai,ao) R(b1,bi,bo) R(S(a1,b1)) C(a1,b1)

a0(1) a1(1) ai(0) ao(1) b0(1) b1(0) bi(1) bo(0) ri(1) ro(1) c(1) => R(a0,ai,ao)(1) R(b0,bi,bo)(0) R(S(a0,b0))(1) R(a1,ai,ao)(1) R(b1,bi,bo)(0) R(S(a1,b1))(0) C(a1,b1)(1)
a0(0) a1(0) ai(0) ao(0) b0(1) b1(1) bi(0) bo(0) ri(0) ro(0) c(1) => R(a0,ai,ao)(0) R(b0,bi,bo)(0) R(S(a0,b0))(0) R(a1,ai,ao)(0) R(b1,bi,bo)(0) R(S(a1,b1))(0) C(a1,b1)(1)
a0(0) a1(1) ai(1) ao(0) b0(1) b1(0) bi(0) bo(0) ri(0) ro(0) c(0) => R(a0,ai,ao)(0) R(b0,bi,bo)(0) R(S(a0,b0))(0) R(a1,ai,ao)(0) R(b1,bi,bo)(0) R(S(a1,b1))(0) C(a1,b1)(0)
a0(0) a1(1) ai(0) ao(1) b0(1) b1(0) bi(1) bo(1) ri(1) ro(1) c(0) => R(a0,ai,ao)(0) R(b0,bi,bo)(1) R(S(a0,b0))(1) R(a1,ai,ao)(1) R(b1,bi,bo)(0) R(S(a1,b1))(1) C(a1,b1)(0)
a0(1) a1(0) ai(0) ao(0) b0(1) b1(0) bi(0) bo(0) ri(1) ro(0) c(0) => R(a0,ai,ao)(0) R(b0,bi,bo)(0) R(S(a0,b0))(0) R(a1,ai,ao)(0) R(b1,bi,bo)(0) R(S(a1,b1))(0) C(a1,b1)(0)
a0(0) a1(0) ai(1) ao(0) b0(1) b1(1) bi(1) bo(0) ri(1) ro(1) c(0) => R(a0,ai,ao)(0) R(b0,bi,bo)(0) R(S(a0,b0))(1) R(a1,ai,ao)(0) R(b1,bi,bo)(0) R(S(a1,b1))(1) C(a1,b1)(0)
a0(0) a1(1) ai(0) ao(1) b0(1) b1(0) bi(1) bo(0) ri(0) ro(0) c(0) => R(a0,ai,ao)(0) R(b0,bi,bo)(0) R(S(a0,b0))(0) R(a1,ai,ao)(0) R(b1,bi,bo)(0) R(S(a1,b1))(0) C(a1,b1)(0)
a0(0) a1(1) ai(0) ao(1) b0(0) b1(0) bi(1) bo(1) ri(0) ro(1) c(1) => R(a0,ai,ao)(0) R(b0,bi,bo)(0) R(S(a0,b0))(1) R(a1,ai,ao)(0) R(b1,bi,bo)(0) R(S(a1,b1))(1) C(a1,b1)(0)
a0(1) a1(1) ai(1) ao(1) b0(1) b1(0) bi(1) bo(1) ri(0) ro(1) c(0) => R(a0,ai,ao)(1) R(b0,bi,bo)(1) R(S(a0,b0))(1) R(a1,ai,ao)(1) R(b1,bi,bo)(0) R(S(a1,b1))(1) C(a1,b1)(1)
a0(0) a1(1) ai(0) ao(0) b0(0) b1(1) bi(0) bo(1) ri(0) ro(0) c(0) => R(a0,ai,ao)(0) R(b0,bi,bo)(1) R(S(a0,b0))(0) R(a1,ai,ao)(0) R(b1,bi,bo)(0) R(S(a1,b1))(0) C(a1,b1)(1)
