d ai bi ri ro c => B(d) Rda Rdb RS(Rda,Rdb,c) C(Rda,Rdb)

d(0) ai(0) bi(0) ri(0) ro(0) c(0) => B(d)(0) Rda(1) Rdb(1) RS(Rda,Rdb,c)(0) C(Rda,Rdb)(1)
d(0) ai(0) bi(0) ri(0) ro(0) c(1) => B(d)(0) Rda(1) Rdb(1) RS(Rda,Rdb,c)(0) C(Rda,Rdb)(1)
d(0) ai(0) bi(0) ri(0) ro(1) c(0) => B(d)(1) Rda(1) Rdb(1) RS(Rda,Rdb,c)(1) C(Rda,Rdb)(1)
d(0) ai(0) bi(0) ri(0) ro(1) c(1) => B(d)(1) Rda(1) Rdb(1) RS(Rda,Rdb,c)(1) C(Rda,Rdb)(1)
d(0) ai(0) bi(0) ri(1) ro(0) c(0) => B(d)(0) Rda(1) Rdb(1) RS(Rda,Rdb,c)(0) C(Rda,Rdb)(1)
d(0) ai(0) bi(0) ri(1) ro(0) c(1) => B(d)(0) Rda(1) Rdb(1) RS(Rda,Rdb,c)(0) C(Rda,Rdb)(1)
d(0) ai(0) bi(0) ri(1) ro(1) c(0) => B(d)(0) Rda(1) Rdb(1) RS(Rda,Rdb,c)(0) C(Rda,Rdb)(1)
d(0) ai(0) bi(0) ri(1) ro(1) c(1) => B(d)(1) Rda(1) Rdb(1) RS(Rda,Rdb,c)(1) C(Rda,Rdb)(1)
d(0) ai(0) bi(1) ri(0) ro(0) c(0) => B(d)(0) Rda(1) Rdb(0) RS(Rda,Rdb,c)(0) C(Rda,Rdb)(0)
d(0) ai(0) bi(1) ri(0) ro(0) c(1) => B(d)(0) Rda(1) Rdb(0) RS(Rda,Rdb,c)(0) C(Rda,Rdb)(1)
d(0) ai(0) bi(1) ri(0) ro(1) c(0) => B(d)(1) Rda(1) Rdb(1) RS(Rda,Rdb,c)(1) C(Rda,Rdb)(1)
d(0) ai(0) bi(1) ri(0) ro(1) c(1) => B(d)(1) Rda(1) Rdb(1) RS(Rda,Rdb,c)(1) C(Rda,Rdb)(1)
d(0) ai(0) bi(1) ri(1) ro(0) c(0) => B(d)(0) Rda(1) Rdb(0) RS(Rda,Rdb,c)(0) C(Rda,Rdb)(0)
d(0) ai(0) bi(1) ri(1) ro(0) c(1) => B(d)(0) Rda(1) Rdb(0) RS(Rda,Rdb,c)(0) C(Rda,Rdb)(1)
d(0) ai(1) bi(0) ri(0) ro(0) c(0) => B(d)(0) Rda(0) Rdb(0) RS(Rda,Rdb,c)(0) C(Rda,Rdb)(0)
d(0) ai(1) bi(0) ri(0) ro(0) c(1) => B(d)(0) Rda(0) Rdb(0) RS(Rda,Rdb,c)(0) C(Rda,Rdb)(0)
