d0 d1 ai bi ri ro c => B(d0) R(d0a) R(d0b) R(S(R(d0a),R(d0b),c)) B(d1) R(d1a) R(d1b) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b)))) C(R(d1a),R(d1b))

d0(0) d1(0) ai(0) bi(0) ri(0) ro(0) c(0) => B(d0)(0) R(d0a)(1) R(d0b)(1) R(S(R(d0a),R(d0b),c))(0) B(d1)(0) R(d1a)(1) R(d1b)(1) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b))))(0) C(R(d1a),R(d1b))(1)
d0(0) d1(0) ai(0) bi(0) ri(0) ro(0) c(1) => B(d0)(0) R(d0a)(1) R(d0b)(1) R(S(R(d0a),R(d0b),c))(0) B(d1)(0) R(d1a)(1) R(d1b)(1) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b))))(0) C(R(d1a),R(d1b))(1)
d0(0) d1(0) ai(0) bi(0) ri(0) ro(1) c(0) => B(d0)(1) R(d0a)(1) R(d0b)(1) R(S(R(d0a),R(d0b),c))(1) B(d1)(1) R(d1a)(1) R(d1b)(1) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b))))(1) C(R(d1a),R(d1b))(1)
d0(0) d1(0) ai(0) bi(0) ri(0) ro(1) c(1) => B(d0)(1) R(d0a)(1) R(d0b)(1) R(S(R(d0a),R(d0b),c))(1) B(d1)(1) R(d1a)(1) R(d1b)(1) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b))))(1) C(R(d1a),R(d1b))(1)
d0(0) d1(0) ai(0) bi(0) ri(1) ro(0) c(0) => B(d0)(0) R(d0a)(1) R(d0b)(1) R(S(R(d0a),R(d0b),c))(0) B(d1)(0) R(d1a)(1) R(d1b)(1) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b))))(0) C(R(d1a),R(d1b))(1)
d0(0) d1(0) ai(0) bi(0) ri(1) ro(0) c(1) => B(d0)(0) R(d0a)(1) R(d0b)(1) R(S(R(d0a),R(d0b),c))(0) B(d1)(0) R(d1a)(1) R(d1b)(1) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b))))(0) C(R(d1a),R(d1b))(1)
d0(0) d1(0) ai(0) bi(0) ri(1) ro(1) c(0) => B(d0)(0) R(d0a)(1) R(d0b)(1) R(S(R(d0a),R(d0b),c))(0) B(d1)(1) R(d1a)(1) R(d1b)(1) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b))))(1) C(R(d1a),R(d1b))(1)
d0(0) d1(0) ai(0) bi(0) ri(1) ro(1) c(1) => B(d0)(1) R(d0a)(1) R(d0b)(1) R(S(R(d0a),R(d0b),c))(1) B(d1)(1) R(d1a)(1) R(d1b)(1) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b))))(1) C(R(d1a),R(d1b))(1)
d0(0) d1(0) ai(0) bi(1) ri(0) ro(0) c(0) => B(d0)(0) R(d0a)(1) R(d0b)(0) R(S(R(d0a),R(d0b),c))(0) B(d1)(0) R(d1a)(1) R(d1b)(0) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b))))(0) C(R(d1a),R(d1b))(0)
d0(0) d1(0) ai(0) bi(1) ri(0) ro(0) c(1) => B(d0)(0) R(d0a)(1) R(d0b)(0) R(S(R(d0a),R(d0b),c))(0) B(d1)(0) R(d1a)(1) R(d1b)(0) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b))))(0) C(R(d1a),R(d1b))(1)
d0(0) d1(0) ai(0) bi(1) ri(0) ro(1) c(0) => B(d0)(1) R(d0a)(1) R(d0b)(1) R(S(R(d0a),R(d0b),c))(1) B(d1)(1) R(d1a)(1) R(d1b)(1) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b))))(1) C(R(d1a),R(d1b))(1)
d0(0) d1(0) ai(0) bi(1) ri(0) ro(1) c(1) => B(d0)(1) R(d0a)(1) R(d0b)(1) R(S(R(d0a),R(d0b),c))(1) B(d1)(1) R(d1a)(1) R(d1b)(1) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b))))(1) C(R(d1a),R(d1b))(1)
d0(0) d1(0) ai(0) bi(1) ri(1) ro(0) c(0) => B(d0)(0) R(d0a)(1) R(d0b)(0) R(S(R(d0a),R(d0b),c))(0) B(d1)(0) R(d1a)(1) R(d1b)(0) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b))))(0) C(R(d1a),R(d1b))(0)
d0(0) d1(0) ai(0) bi(1) ri(1) ro(0) c(1) => B(d0)(0) R(d0a)(1) R(d0b)(0) R(S(R(d0a),R(d0b),c))(0) B(d1)(0) R(d1a)(1) R(d1b)(0) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b))))(0) C(R(d1a),R(d1b))(1)
d0(0) d1(0) ai(1) bi(0) ri(0) ro(0) c(0) => B(d0)(0) R(d0a)(0) R(d0b)(0) R(S(R(d0a),R(d0b),c))(0) B(d1)(0) R(d1a)(0) R(d1b)(0) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b))))(0) C(R(d1a),R(d1b))(0)
d0(0) d1(0) ai(1) bi(0) ri(0) ro(0) c(1) => B(d0)(0) R(d0a)(0) R(d0b)(0) R(S(R(d0a),R(d0b),c))(0) B(d1)(0) R(d1a)(0) R(d1b)(0) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b))))(0) C(R(d1a),R(d1b))(0)
d0(0) d1(0) ai(1) bi(0) ri(0) ro(1) c(0) => B(d0)(0) R(d0a)(0) R(d0b)(0) R(S(R(d0a),R(d0b),c))(0) B(d1)(0) R(d1a)(0) R(d1b)(0) R(S(R(d1a),R(d1b),C(R(d0a),R(d0b))))(0) C(R(d1a),R(d1b))(0)
