d0 d1 r0 r1 => B(d0) B(d1) aw0 aw1 bw0 bw1

d0(0) d1(0) r0(0) r1(0) => B(d0)(0) B(d1)(0) aw0(0) aw1(0) bw0(0) bw1(0)
d0(0) d1(0) r0(0) r1(1) => B(d0)(0) B(d1)(1) aw0(0) aw1(1) bw0(0) bw1(1)
d0(0) d1(0) r0(1) r1(0) => B(d0)(1) B(d1)(0) aw0(1) aw1(0) bw0(1) bw1(0)
d0(0) d1(0) r0(1) r1(1) => B(d0)(1) B(d1)(1) aw0(1) aw1(1) bw0(1) bw1(1)
d0(0) d1(1) r0(0) r1(0) => B(d0)(0) B(d1)(1) aw0(0) aw1(1) bw0(0) bw1(1)
d0(0) d1(1) r0(0) r1(1) => B(d0)(0) B(d1)(1) aw0(0) aw1(1) bw0(0) bw1(1)
d0(0) d1(1) r0(1) r1(0) => B(d0)(1) B(d1)(1) aw0(1) aw1(1) bw0(1) bw1(1)
d0(0) d1(1) r0(1) r1(1) => B(d0)(1) B(d1)(1) aw0(1) aw1(1) bw0(1) bw1(1)
d0(1) d1(0) r0(0) r1(0) => B(d0)(1) B(d1)(0) aw0(1) aw1(0) bw0(1) bw1(0)
d0(1) d1(0) r0(0) r1(1) => B(d0)(1) B(d1)(1) aw0(1) aw1(1) bw0(1) bw1(1)
d0(1) d1(0) r0(1) r1(0) => B(d0)(1) B(d1)(0) aw0(1) aw1(0) bw0(1) bw1(0)
d0(1) d1(0) r0(1) r1(1) => B(d0)(1) B(d1)(1) aw0(1) aw1(1) bw0(1) bw1(1)
d0(1) d1(1) r0(0) r1(0) => B(d0)(1) B(d1)(1) aw0(1) aw1(1) bw0(1) bw1(1)
d0(1) d1(1) r0(0) r1(1) => B(d0)(1) B(d1)(1) aw0(1) aw1(1) bw0(1) bw1(1)
d0(1) d1(1) r0(1) r1(0) => B(d0)(1) B(d1)(1) aw0(1) aw1(1) bw0(1) bw1(1)
d0(1) d1(1) r0(1) r1(1) => B(d0)(1) B(d1)(1) aw0(1) aw1(1) bw0(1) bw1(1)
