a d i o => Rd00 Rd10

a(0) d(0) i(0) o(0) => Rd00(0) Rd10(0)
a(0) d(0) i(0) o(1) => Rd00(1) Rd10(0)
a(0) d(0) i(1) o(0) => Rd00(0) Rd10(0)
a(0) d(0) i(1) o(1) => Rd00(0) Rd10(0)
a(0) d(1) i(0) o(0) => Rd00(0) Rd10(0)
a(0) d(1) i(0) o(1) => Rd00(0) Rd10(0)
a(0) d(1) i(1) o(0) => Rd00(0) Rd10(0)
a(0) d(1) i(1) o(1) => Rd00(1) Rd10(0)
a(1) d(0) i(0) o(0) => Rd00(0) Rd10(0)
a(1) d(0) i(0) o(1) => Rd00(0) Rd10(1)
a(1) d(0) i(1) o(0) => Rd00(0) Rd10(0)
a(1) d(0) i(1) o(1) => Rd00(0) Rd10(0)
a(1) d(1) i(0) o(0) => Rd00(0) Rd10(0)
a(1) d(1) i(0) o(1) => Rd00(0) Rd10(0)
a(1) d(1) i(1) o(0) => Rd00(0) Rd10(0)
a(1) d(1) i(1) o(1) => Rd00(0) Rd10(1)
