a0 a1 d i o => R(d00) R(d10) R(d20) R(d30)

a0(0) a1(0) d(0) i(0) o(0) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(0) a1(0) d(0) i(0) o(1) => R(d00)(1) R(d10)(0) R(d20)(0) R(d30)(0)
a0(0) a1(0) d(0) i(1) o(0) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(0) a1(0) d(0) i(1) o(1) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(0) a1(0) d(1) i(0) o(0) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(0) a1(0) d(1) i(0) o(1) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(0) a1(0) d(1) i(1) o(0) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(0) a1(0) d(1) i(1) o(1) => R(d00)(1) R(d10)(0) R(d20)(0) R(d30)(0)
a0(0) a1(1) d(0) i(0) o(0) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(0) a1(1) d(0) i(0) o(1) => R(d00)(0) R(d10)(0) R(d20)(1) R(d30)(0)
a0(0) a1(1) d(0) i(1) o(0) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(0) a1(1) d(0) i(1) o(1) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(0) a1(1) d(1) i(0) o(0) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(0) a1(1) d(1) i(0) o(1) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(0) a1(1) d(1) i(1) o(0) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(0) a1(1) d(1) i(1) o(1) => R(d00)(0) R(d10)(0) R(d20)(1) R(d30)(0)
a0(1) a1(0) d(0) i(0) o(0) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(1) a1(0) d(0) i(0) o(1) => R(d00)(0) R(d10)(1) R(d20)(0) R(d30)(0)
a0(1) a1(0) d(0) i(1) o(0) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(1) a1(0) d(0) i(1) o(1) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(1) a1(0) d(1) i(0) o(0) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(1) a1(0) d(1) i(0) o(1) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(1) a1(0) d(1) i(1) o(0) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(1) a1(0) d(1) i(1) o(1) => R(d00)(0) R(d10)(1) R(d20)(0) R(d30)(0)
a0(1) a1(1) d(0) i(0) o(0) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(1) a1(1) d(0) i(0) o(1) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(1)
a0(1) a1(1) d(0) i(1) o(0) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(1) a1(1) d(0) i(1) o(1) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(1) a1(1) d(1) i(0) o(0) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(1) a1(1) d(1) i(0) o(1) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(1) a1(1) d(1) i(1) o(0) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(0)
a0(1) a1(1) d(1) i(1) o(1) => R(d00)(0) R(d10)(0) R(d20)(0) R(d30)(1)
