a0 a1 d0 d1 i o => Rd000 Rd101 Rd010 Rd111 Rd020 Rd121 Rd030 Rd131

a0(0) a1(0) d0(0) d1(0) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(0) d0(0) d1(0) i(0) o(1) => Rd000(1) Rd101(1) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(0) d0(0) d1(0) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(0) d0(0) d1(0) i(1) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(0) d0(0) d1(1) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(0) d0(0) d1(1) i(0) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(0) d0(0) d1(1) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(0) d0(0) d1(1) i(1) o(1) => Rd000(0) Rd101(1) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(0) d0(1) d1(0) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(0) d0(1) d1(0) i(0) o(1) => Rd000(0) Rd101(1) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(0) d0(1) d1(0) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(0) d0(1) d1(0) i(1) o(1) => Rd000(1) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(0) d0(1) d1(1) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(0) d0(1) d1(1) i(0) o(1) => Rd000(1) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(0) d0(1) d1(1) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(0) d0(1) d1(1) i(1) o(1) => Rd000(1) Rd101(1) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(1) d0(0) d1(0) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(1) d0(0) d1(0) i(0) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(1) Rd121(1) Rd030(0) Rd131(0)
a0(0) a1(1) d0(0) d1(0) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(1) d0(0) d1(0) i(1) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(1) d0(0) d1(1) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(1) d0(0) d1(1) i(0) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(1) d0(0) d1(1) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(1) d0(0) d1(1) i(1) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(1) Rd030(0) Rd131(0)
a0(0) a1(1) d0(1) d1(0) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(1) d0(1) d1(0) i(0) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(1) Rd030(0) Rd131(0)
a0(0) a1(1) d0(1) d1(0) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(1) d0(1) d1(0) i(1) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(1) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(1) d0(1) d1(1) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(1) d0(1) d1(1) i(0) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(1) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(1) d0(1) d1(1) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(0) a1(1) d0(1) d1(1) i(1) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(1) Rd121(1) Rd030(0) Rd131(0)
a0(1) a1(0) d0(0) d1(0) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(0) d0(0) d1(0) i(0) o(1) => Rd000(0) Rd101(0) Rd010(1) Rd111(1) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(0) d0(0) d1(0) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(0) d0(0) d1(0) i(1) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(0) d0(0) d1(1) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(0) d0(0) d1(1) i(0) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(0) d0(0) d1(1) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(0) d0(0) d1(1) i(1) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(1) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(0) d0(1) d1(0) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(0) d0(1) d1(0) i(0) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(1) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(0) d0(1) d1(0) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(0) d0(1) d1(0) i(1) o(1) => Rd000(0) Rd101(0) Rd010(1) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(0) d0(1) d1(1) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(0) d0(1) d1(1) i(0) o(1) => Rd000(0) Rd101(0) Rd010(1) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(0) d0(1) d1(1) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(0) d0(1) d1(1) i(1) o(1) => Rd000(0) Rd101(0) Rd010(1) Rd111(1) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(1) d0(0) d1(0) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(1) d0(0) d1(0) i(0) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(1) Rd131(1)
a0(1) a1(1) d0(0) d1(0) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(1) d0(0) d1(0) i(1) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(1) d0(0) d1(1) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(1) d0(0) d1(1) i(0) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(1) d0(0) d1(1) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(1) d0(0) d1(1) i(1) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(1)
a0(1) a1(1) d0(1) d1(0) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(1) d0(1) d1(0) i(0) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(1)
a0(1) a1(1) d0(1) d1(0) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(1) d0(1) d1(0) i(1) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(1) Rd131(0)
a0(1) a1(1) d0(1) d1(1) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(1) d0(1) d1(1) i(0) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(1) Rd131(0)
a0(1) a1(1) d0(1) d1(1) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(0) Rd131(0)
a0(1) a1(1) d0(1) d1(1) i(1) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0) Rd020(0) Rd121(0) Rd030(1) Rd131(1)
