a d0 d1 i o => Rd000 Rd101 Rd010 Rd111

a(0) d0(0) d1(0) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(0) d0(0) d1(0) i(0) o(1) => Rd000(1) Rd101(1) Rd010(0) Rd111(0)
a(0) d0(0) d1(0) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(0) d0(0) d1(0) i(1) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(0) d0(0) d1(1) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(0) d0(0) d1(1) i(0) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(0) d0(0) d1(1) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(0) d0(0) d1(1) i(1) o(1) => Rd000(0) Rd101(1) Rd010(0) Rd111(0)
a(0) d0(1) d1(0) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(0) d0(1) d1(0) i(0) o(1) => Rd000(0) Rd101(1) Rd010(0) Rd111(0)
a(0) d0(1) d1(0) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(0) d0(1) d1(0) i(1) o(1) => Rd000(1) Rd101(0) Rd010(0) Rd111(0)
a(0) d0(1) d1(1) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(0) d0(1) d1(1) i(0) o(1) => Rd000(1) Rd101(0) Rd010(0) Rd111(0)
a(0) d0(1) d1(1) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(0) d0(1) d1(1) i(1) o(1) => Rd000(1) Rd101(1) Rd010(0) Rd111(0)
a(1) d0(0) d1(0) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(1) d0(0) d1(0) i(0) o(1) => Rd000(0) Rd101(0) Rd010(1) Rd111(1)
a(1) d0(0) d1(0) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(1) d0(0) d1(0) i(1) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(1) d0(0) d1(1) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(1) d0(0) d1(1) i(0) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(1) d0(0) d1(1) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(1) d0(0) d1(1) i(1) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(1)
a(1) d0(1) d1(0) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(1) d0(1) d1(0) i(0) o(1) => Rd000(0) Rd101(0) Rd010(0) Rd111(1)
a(1) d0(1) d1(0) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(1) d0(1) d1(0) i(1) o(1) => Rd000(0) Rd101(0) Rd010(1) Rd111(0)
a(1) d0(1) d1(1) i(0) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(1) d0(1) d1(1) i(0) o(1) => Rd000(0) Rd101(0) Rd010(1) Rd111(0)
a(1) d0(1) d1(1) i(1) o(0) => Rd000(0) Rd101(0) Rd010(0) Rd111(0)
a(1) d0(1) d1(1) i(1) o(1) => Rd000(0) Rd101(0) Rd010(1) Rd111(1)
