d0 d1 i o => R(d0,i,o) R(d1,i,o)

d0(0) d1(0) i(0) o(0) => R(d0,i,o)(0) R(d1,i,o)(0)
d0(0) d1(0) i(0) o(1) => R(d0,i,o)(1) R(d1,i,o)(1)
d0(0) d1(0) i(1) o(0) => R(d0,i,o)(0) R(d1,i,o)(0)
d0(0) d1(0) i(1) o(1) => R(d0,i,o)(0) R(d1,i,o)(0)
d0(0) d1(1) i(0) o(0) => R(d0,i,o)(0) R(d1,i,o)(0)
d0(0) d1(1) i(0) o(1) => R(d0,i,o)(0) R(d1,i,o)(0)
d0(0) d1(1) i(1) o(0) => R(d0,i,o)(0) R(d1,i,o)(0)
d0(0) d1(1) i(1) o(1) => R(d0,i,o)(0) R(d1,i,o)(1)
d0(1) d1(0) i(0) o(0) => R(d0,i,o)(0) R(d1,i,o)(0)
d0(1) d1(0) i(0) o(1) => R(d0,i,o)(0) R(d1,i,o)(1)
d0(1) d1(0) i(1) o(0) => R(d0,i,o)(0) R(d1,i,o)(0)
d0(1) d1(0) i(1) o(1) => R(d0,i,o)(1) R(d1,i,o)(0)
d0(1) d1(1) i(0) o(0) => R(d0,i,o)(0) R(d1,i,o)(0)
d0(1) d1(1) i(0) o(1) => R(d0,i,o)(1) R(d1,i,o)(0)
d0(1) d1(1) i(1) o(0) => R(d0,i,o)(0) R(d1,i,o)(0)
d0(1) d1(1) i(1) o(1) => R(d0,i,o)(1) R(d1,i,o)(1)
