a0 a1 b0 b1 c => S(a0,b0,c) S(a1,b1,C(a0,b0)) C(a1,b1)

a0(0) a1(0) b0(0) b1(0) c(0) => S(a0,b0,c)(0) S(a1,b1,C(a0,b0))(0) C(a1,b1)(0)
a0(0) a1(0) b0(0) b1(0) c(1) => S(a0,b0,c)(1) S(a1,b1,C(a0,b0))(0) C(a1,b1)(0)
a0(0) a1(0) b0(0) b1(1) c(0) => S(a0,b0,c)(0) S(a1,b1,C(a0,b0))(1) C(a1,b1)(0)
a0(0) a1(0) b0(0) b1(1) c(1) => S(a0,b0,c)(1) S(a1,b1,C(a0,b0))(1) C(a1,b1)(0)
a0(0) a1(0) b0(1) b1(0) c(0) => S(a0,b0,c)(1) S(a1,b1,C(a0,b0))(0) C(a1,b1)(0)
a0(0) a1(0) b0(1) b1(0) c(1) => S(a0,b0,c)(0) S(a1,b1,C(a0,b0))(1) C(a1,b1)(0)
a0(0) a1(0) b0(1) b1(1) c(0) => S(a0,b0,c)(1) S(a1,b1,C(a0,b0))(1) C(a1,b1)(0)
a0(0) a1(0) b0(1) b1(1) c(1) => S(a0,b0,c)(0) S(a1,b1,C(a0,b0))(0) C(a1,b1)(1)
a0(0) a1(1) b0(0) b1(0) c(0) => S(a0,b0,c)(0) S(a1,b1,C(a0,b0))(1) C(a1,b1)(0)
a0(0) a1(1) b0(0) b1(0) c(1) => S(a0,b0,c)(1) S(a1,b1,C(a0,b0))(1) C(a1,b1)(0)
a0(0) a1(1) b0(0) b1(1) c(0) => S(a0,b0,c)(0) S(a1,b1,C(a0,b0))(0) C(a1,b1)(1)
a0(0) a1(1) b0(0) b1(1) c(1) => S(a0,b0,c)(1) S(a1,b1,C(a0,b0))(0) C(a1,b1)(1)
a0(0) a1(1) b0(1) b1(0) c(0) => S(a0,b0,c)(1) S(a1,b1,C(a0,b0))(1) C(a1,b1)(0)
a0(0) a1(1) b0(1) b1(0) c(1) => S(a0,b0,c)(0) S(a1,b1,C(a0,b0))(0) C(a1,b1)(1)
a0(0) a1(1) b0(1) b1(1) c(0) => S(a0,b0,c)(1) S(a1,b1,C(a0,b0))(0) C(a1,b1)(1)
a0(0) a1(1) b0(1) b1(1) c(1) => S(a0,b0,c)(0) S(a1,b1,C(a0,b0))(1) C(a1,b1)(1)
a0(1) a1(0) b0(0) b1(0) c(0) => S(a0,b0,c)(1) S(a1,b1,C(a0,b0))(0) C(a1,b1)(0)
a0(1) a1(0) b0(0) b1(0) c(1) => S(a0,b0,c)(0) S(a1,b1,C(a0,b0))(1) C(a1,b1)(0)
a0(1) a1(0) b0(0) b1(1) c(0) => S(a0,b0,c)(1) S(a1,b1,C(a0,b0))(1) C(a1,b1)(0)
a0(1) a1(0) b0(0) b1(1) c(1) => S(a0,b0,c)(0) S(a1,b1,C(a0,b0))(0) C(a1,b1)(1)
a0(1) a1(0) b0(1) b1(0) c(0) => S(a0,b0,c)(0) S(a1,b1,C(a0,b0))(1) C(a1,b1)(0)
a0(1) a1(0) b0(1) b1(0) c(1) => S(a0,b0,c)(1) S(a1,b1,C(a0,b0))(1) C(a1,b1)(0)
a0(1) a1(0) b0(1) b1(1) c(0) => S(a0,b0,c)(0) S(a1,b1,C(a0,b0))(0) C(a1,b1)(1)
a0(1) a1(0) b0(1) b1(1) c(1) => S(a0,b0,c)(1) S(a1,b1,C(a0,b0))(0) C(a1,b1)(1)
a0(1) a1(1) b0(0) b1(0) c(0) => S(a0,b0,c)(1) S(a1,b1,C(a0,b0))(1) C(a1,b1)(0)
a0(1) a1(1) b0(0) b1(0) c(1) => S(a0,b0,c)(0) S(a1,b1,C(a0,b0))(0) C(a1,b1)(1)
a0(1) a1(1) b0(0) b1(1) c(0) => S(a0,b0,c)(1) S(a1,b1,C(a0,b0))(0) C(a1,b1)(1)
a0(1) a1(1) b0(0) b1(1) c(1) => S(a0,b0,c)(0) S(a1,b1,C(a0,b0))(1) C(a1,b1)(1)
a0(1) a1(1) b0(1) b1(0) c(0) => S(a0,b0,c)(0) S(a1,b1,C(a0,b0))(0) C(a1,b1)(1)
a0(1) a1(1) b0(1) b1(0) c(1) => S(a0,b0,c)(1) S(a1,b1,C(a0,b0))(0) C(a1,b1)(1)
a0(1) a1(1) b0(1) b1(1) c(0) => S(a0,b0,c)(0) S(a1,b1,C(a0,b0))(1) C(a1,b1)(1)
a0(1) a1(1) b0(1) b1(1) c(1) => S(a0,b0,c)(1) S(a1,b1,C(a0,b0))(1) C(a1,b1)(1)
